nation,english,confirm,dead,heal,addConfirm,deadRate,healRate
美国,United States,27157522,462075,16909844,6992,1.7,62.27
印度,India,10790183,154703,10480455,12899,1.43,97.13
巴西,Brazil,9339420,227563,8313044,56002,2.44,89.01
英国,United Kingdom,3903706,110462,10010,20734,2.83,0.26
俄罗斯,Russia,3874830,74005,3352720,16463,1.91,86.53
法国,France,3310051,77741,234678,26355,2.35,7.09
西班牙,Spain,2913389,60370,196958,31596,2.07,6.76
意大利,Italy,2583790,89820,2059248,13182,3.48,79.7
土耳其,Turkey,2508988,26467,2396199,7909,1.05,95.5
德国,Germany,2261925,59938,2005316,1995,2.65,88.66
哥伦比亚,Colombia,2125622,54877,1988958,11025,2.58,93.57
阿根廷,Argentina,1952744,48539,1745208,9196,2.49,89.37
墨西哥,Mexico,1886245,161240,1450237,12153,8.55,76.88
波兰,Poland,1533511,38344,1288163,6495,2.5,84
南非,South Africa,1463016,45344,1323680,4058,3.1,90.48
伊朗,Iran,1445326,58256,1235581,7040,4.03,85.49
乌克兰,Ukraine,1275334,24429,1092599,5333,1.92,85.67
秘鲁,Peru,1158337,41538,1069129,8573,3.59,92.3
印度尼西亚,Indonesia,1123105,31001,917306,11434,2.76,81.68
捷克,Czech,1013352,16826,902007,9695,1.66,89.01
荷兰,Netherlands,1007203,14346,13103,4266,1.42,1.3
加拿大,Canada,795506,20403,726260,1094,2.56,91.3
葡萄牙,Portugal,748858,13482,573934,16997,1.8,76.64
罗马尼亚,Romania,738152,18675,684095,2668,2.53,92.68
智利,Chile,736645,18576,694960,0,2.52,94.34
比利时,Belgium,716395,21216,0,3124,2.96,0
以色列,Israel,672324,4975,589387,7673,0.74,87.66
伊拉克,Iraq,624222,13091,596959,1150,2.1,95.63
瑞典,Sweden,584674,12028,0,3758,2.06,0
巴基斯坦,Pakistan,550540,11833,505818,1508,2.15,91.88
孟加拉,Bangladesh,537030,8175,481917,485,1.52,89.74
菲律宾,Philippines,531699,10997,487927,1581,2.07,91.77
瑞士,Switzerland,530289,9539,317600,1765,1.8,59.89
摩洛哥,Morocco,473047,8323,451780,774,1.76,95.5
奥地利,Austria,419801,7936,397910,1518,1.89,94.79
塞尔维亚,Serbia,402700,4085,0,1863,1.01,0
日本,Japan,399476,6172,349176,2576,1.55,87.41
匈牙利,Hungary,371988,12832,274308,1652,3.45,73.74
沙特阿拉伯,Saudi Arabia,369248,6389,360697,609,1.73,97.68
约旦,Jordan,331768,4354,317948,1294,1.31,95.83
巴拿马,Panama,323382,5366,283298,1181,1.66,87.6
阿联酋,United Arab Emirates,316875,888,293180,3249,0.28,92.52
黎巴嫩,Lebanon,309162,3315,188824,3320,1.07,61.08
尼泊尔,Nepal,271602,2033,267292,171,0.75,98.41
格鲁吉亚,Georgia,260480,3240,251748,583,1.24,96.65
斯洛伐克,Slovakia,256903,4976,230456,2077,1.94,89.71
白俄罗斯,Belarus,253413,1755,241150,1708,0.69,95.16
