province,city,nowConfirm,confirm,dead,heal,deadRate,healRate,addConfirm
香港,地区待确认,683,10552,185,9684,1.75,91.77,0
黑龙江,绥化,375,530,4,151,0.75,28.49,0
黑龙江,哈尔滨,144,408,4,260,0.98,63.73,0
黑龙江,大庆,2,29,1,26,3.45,89.66,0
黑龙江,齐齐哈尔,1,44,1,42,2.27,95.45,0
黑龙江,境外输入,0,389,0,389,0.00,100.00,0
黑龙江,黑河,0,24,0,24,0.00,100.00,0
黑龙江,牡丹江,0,36,0,36,0.00,100.00,0
黑龙江,伊春,0,1,0,1,0.00,100.00,0
黑龙江,大兴安岭,0,3,0,3,0.00,100.00,0
黑龙江,双鸭山,0,52,3,49,5.77,94.23,0
黑龙江,鸡西,0,46,0,46,0.00,100.00,0
黑龙江,七台河,0,17,0,17,0.00,100.00,0
黑龙江,鹤岗,0,5,0,5,0.00,100.00,0
黑龙江,佳木斯,0,15,0,15,0.00,100.00,0
黑龙江,地区待确认,-60,2,0,62,0.00,3100.00,0
吉林,通化,221,311,1,89,0.32,28.62,0
吉林,长春,102,150,0,48,0.00,32.00,0
吉林,松原,4,6,0,2,0.00,33.33,0
吉林,四平,0,17,1,16,5.88,94.12,0
吉林,吉林,0,48,1,47,2.08,97.92,0
吉林,境外输入,0,19,0,19,0.00,100.00,0
吉林,白城,0,1,0,1,0.00,100.00,0
吉林,公主岭,0,6,0,6,0.00,100.00,0
吉林,辽源,0,7,0,7,0.00,100.00,0
吉林,延边,0,5,0,5,0.00,100.00,0
吉林,梅河口市,0,1,0,1,0.00,100.00,0
河北,石家庄,214,897,1,682,0.11,76.03,0
河北,邢台,23,94,1,70,1.06,74.47,0
河北,廊坊,1,33,0,32,0.00,96.97,0
河北,保定,1,49,0,48,0.00,97.96,0
河北,地区待确认,0,0,0,0,0.00,0.00,0
河北,沧州,0,49,3,46,6.12,93.88,0
河北,境外输入,0,36,0,36,0.00,100.00,0
河北,张家口,0,43,0,43,0.00,100.00,0
河北,唐山,0,58,1,57,1.72,98.28,0
河北,邯郸,0,32,0,32,0.00,100.00,0
河北,承德,0,7,0,7,0.00,100.00,0
河北,秦皇岛,0,10,1,9,10.00,90.00,0
河北,衡水,0,8,0,8,0.00,100.00,0
上海,境外输入,104,1344,0,1240,0.00,92.26,0
上海,黄浦,16,22,1,5,4.55,22.73,0
上海,宝山,4,26,1,21,3.85,80.77,0
上海,长宁,1,14,0,13,0.00,92.86,0
上海,静安,0,16,1,15,6.25,93.75,0
上海,境外来沪,0,1,0,1,0.00,100.00,0
上海,外地来沪,0,113,1,112,0.88,99.12,0
上海,地区待确认,0,0,0,0,0.00,0.00,0
上海,嘉定,0,9,2,7,22.22,77.78,0
上海,徐汇,0,18,1,17,5.56,94.44,0
上海,浦东,0,68,0,68,0.00,100.00,0
上海,青浦,0,6,0,6,0.00,100.00,0
上海,崇明,0,4,0,4,0.00,100.00,0
上海,金山,0,4,0,4,0.00,100.00,0
上海,虹口,0,7,0,7,0.00,100.00,0
上海,奉贤,0,9,0,9,0.00,100.00,0
上海,杨浦,0,9,0,9,0.00,100.00,0
上海,普陀,0,11,0,11,0.00,100.00,0
上海,松江,0,14,0,14,0.00,100.00,0
上海,闵行,0,19,0,19,0.00,100.00,0
台湾,地区待确认,71,919,9,839,0.98,91.29,0
北京,顺义,34,45,0,11,0.00,24.44,0
北京,大兴,30,134,0,104,0.00,77.61,0
北京,境外输入,16,216,0,200,0.00,92.59,0
北京,朝阳,3,80,0,77,0.00,96.25,0
北京,怀柔,1,8,0,7,0.00,87.50,0
北京,门头沟,0,5,0,5,0.00,100.00,0
北京,延庆,0,1,0,1,0.00,100.00,0
北京,外地来京,0,25,0,25,0.00,100.00,0
北京,石景山,0,15,0,15,0.00,100.00,0
北京,东城,0,19,0,19,0.00,100.00,0
北京,通州,0,20,9,11,45.00,55.00,0
北京,房山,0,20,0,20,0.00,100.00,0
北京,昌平,0,30,0,30,0.00,100.00,0
北京,西城,0,59,0,59,0.00,100.00,0
北京,海淀,0,82,0,82,0.00,100.00,0
北京,丰台,0,273,0,273,0.00,100.00,0
北京,密云,0,7,0,7,0.00,100.00,0
北京,地区待确认,-27,5,0,32,0.00,640.00,0
广东,境外输入,46,736,0,690,0.00,93.75,0
广东,梅州,0,16,0,16,0.00,100.00,0
广东,地区待确认,0,0,0,0,0.00,0.00,0
广东,广州,0,377,1,376,0.27,99.73,0
广东,中山,0,67,0,67,0.00,100.00,0
广东,河源,0,5,0,5,0.00,100.00,0
广东,湛江,0,22,0,22,0.00,100.00,0
广东,珠海,0,98,1,97,1.02,98.98,0
广东,韶关,0,10,1,9,10.00,90.00,0
广东,揭阳,0,10,0,10,0.00,100.00,0
